ep_num,title,pub_date,pub_datetime,duration,description,explicit,keywords,scraped_date
246,Ep.#246 - 50 Shades Darker LIVE,2017-12-09,2017-12-09T14:00:00Z,82.26666666666667,"We reached into the vault to finally release this gem from back in the summer, the first and only time we've had an extra guest at a live show, the always lovable Hallie Haglund. And what better thing for three gross dudes to discuss with a woman than 50 Shades Darker? Wikipedia synopsis for 50 Shades Darker LIVE SHOWS Dec. 9 –  San Francisco, at the Marines Memorial Theater]]>",yes,,2017-12-11
245,Ep.#245 - Teenage Mutant Ninja Turtles III,2017-11-25,2017-11-25T18:37:54Z,105.36666666666666,"We're doing another podcrawl, along with  Read it and Weep and Too Beautiful to Live! They covered the first two of the original Ninja Turtles movies, and we covered Teenage Mutant Ninja Turtles III aka the one where they go back in time and wear samurai garb that is somehow fitted to giant turtles. Meanwhile, Stu reveals Elliott's diaper secret, Dan has an energy drink scam, and Elliott poses a question about inter-generational incest.  Wikipedia synopsis for Teenage Mutant Ninja Turtles III Movies recommended in this episode Lady Bird Found Footage 3D Sawdust and Tinsel LIVE SHOWS Dec. 9 –  San Francisco, at the Marines Memorial Theater]]>",yes,,2017-12-11
244,Ep. #244 - Unforgettable,2017-11-11,2017-11-11T16:05:04Z,121.08333333333333,"Our love (?) affair with Katherine Heigl continues, as we discuss the crazy ex-wife thriller ""Unforgettable."" Meanwhile Elliott leans deep into dad jokes, Stuart discourses on the racism of a Mexican restaurant, and Dan''s covered in chili. Wikipedia synopsis for Unforgettable Movies recommended in this episode The Shop Around the CornerThor: RagnorokCrimson PeakThe Lost City of Z LIVE SHOWS Dec. 9 –  San Francisco, at the Marines Memorial Theater]]>",yes,,2017-12-11
243,Ep. #243 - The Bye Bye Man,2017-10-28,2017-10-28T15:01:58Z,90.26666666666667,"Shocktober concludes with the playfully titled The Bye Bye Man, starring the titular Bye Bye Man and some boring people. Meanwhile, Elliott channels Freddy Kreuger to give the Bye Bye Man some advice, Stu explains Dan doesn't have to pick up floor food, and Dan has some questions about fish blow jobs. Wikipedia synopsis for The Bye Bye Man Movies recommended in this episode ApplecartGerald's GameHappy Death DayQueen of EarthChristine LIVE SHOWS Dec. 9 –  San Francisco, at the Marines Memorial Theater]]>",yes,,2017-12-11
242,Ep. #242 - Rings LIVE!,2017-10-14,2017-10-14T15:59:44Z,84.35,"We discuss Rings, live at the Regent Theater in downtown L.A., with special guest Jordan Morris of Jordan Jesse Go! Wikipedia synopsis for Rings   LIVE SHOWS Oct. 21 –   Toronto, at the Royal Theater Dec. 9 –  San Francisco, at the Marines Memorial Theater]]>",no,,2017-12-11
241,Ep. #241 - Pass Thru,2017-09-30,2017-09-30T15:37:51Z,120.58333333333333,"Smalltember Small-Stars concludes with Pass Thru, a.k.a. us revisiting the endless well of crazy that is Neil Breen, the lumpy messiah-complex-ed Las Vegas architect who's also a one-man moviemaking factory. Will we be as charmed by him this time around? Meanwhile, Stu rails against those who rail against political correctness, Dan reveals childhood spider trauma, and Elliott is under attack by helicopters. Wikipedia page for Neil Breen Movies recommended in this episode Salesmanmother!Inside No. 9 LIVE SHOWS Oct. 8 – The whole gang in Los Angeles, at the Regent Theater Oct. 21 – The whole gang in  Toronto, at the Royal Theater Dec. 9 – The whole gang in San Francisco, at the Marines Memorial Theater]]>",yes,,2017-12-11
240,Ep. #240 - Sicilian Vampire,2017-09-16,2017-09-16T15:55:56Z,116.68333333333334,"It's Smalltember Small-Stars, with a return to Frank D'Angelo, the Canadian energy drink magnate and bad movie savant behind No Depo$it. This time we discuss his undead Italian saga, Sicilian Vampire. Meanwhile Stuart is on about millennials, Dan poses a salient point about bananas, and Elliott is bound and determined to go through this movie beat-by-beat. Wikipedia page for Sicilian Vampire LIVE SHOWS Oct. 8 – The whole gang in Los Angeles, at the Regent Theater Oct. 21 - The whole gang in  Toronto, at the Royal Theater Dec. 9 – The whole gang in San Francisco, at the Marines Memorial Theater]]>",no,,2017-12-11
239,"Ep, #239 - Ghost in the Shell",2017-09-02,2017-09-02T12:30:00Z,115.03333333333333,"We're back, baby! And we're all ready to jack into the matrix to cyber-brain download Ghost in the Shell, or something. Meanwhile, Dan goes all googly eyes, Stuart spins some controversial theories about Middle-Earth, and Elliott takes us down to his seafood restaurant. And yes, we hear that crackling noise on Elliott's audio too. We have no idea why it happened, but we're working on it. Let's hope our cross-country recording isn't bedeviled by Gremlins.  Wikipedia synopsis for Ghost in the Shell LIVE SHOWS Sept. 9 – No Elliott, but with Ronny Chieng in New York at the Now Hear This Festival Oct. 8 – The whole gang in Los Angeles, at the Regent Theater Dec. 9 – The whole gang in San Francisco, at the Marines Memorial Theater]]>",yes,,2017-12-11
238,Ep. #238 - xXx: The Return of Xander Cage LIVE,2017-08-19,2017-08-19T14:14:44Z,75.18333333333334,"While Elliott's making the transition into the relaxed SoCal lifestyle, we're running some shows we have in the bank, like this live show from back in the winter, which may have been our best one yet. Meanwhile, Elliott reveals Hitchcock's commercial work, Stuart wants us to know that he can do impressions too, and Dan accidentally says something untoward about his mom. Wikipedia synopsis for xXx: The Return of Xander Cage LIVE SHOWS Sept. 9 – No Elliott, but with Ronny Chieng in New York at the Now Hear This Festival Oct. 8 – The whole gang in Los Angeles, at the Regent Theater Dec. 9 – The whole gang in San Francisco, at the Marines Memorial Theater]]>",yes,,2017-12-11
237,Ep. #237 - Ishtar,2017-08-05,2017-08-05T15:07:30Z,110.5,"It's an emotional moment. This is the last regular episode where all three peaches will be in Dan's apartment recording together, in the same space. It's also the ten year anniversary of this dumb podcast's existence. So how did we celebrate it? By taking a look at what was supposedly the worst movie back when we were growing up, Ishtar. Elliott vastly improves ""Meet Dave,"" Dan somehow misses some nudity, and Stuart talks about a ""tug in his butt,"" whatever that means. We're gonna miss this, guys. Wikipedia synopsis for Ishtar Movies recommended in this episode: Robin HoodJohn Wick: Chapter 2Winter Kills LIVE SHOWS Sept. 9 - No Elliott, but with (hopefully) Ronny Chieng in New York at the Now Hear This Festival Oct. 10 - The whole gang in Los Angeles, at the Regent Theater Dec. 9 - The whole gang in San Francisco, at the Marines Memorial Theater]]>",yes,,2017-12-11
